currenttime,choice,l,time
08:42.8,H,7,0.009799242
08:42.9,H,7,0.020535231
08:42.9,H,7,0.045623779
08:43.0,H,7,0.025997162
08:43.0,H,7,0.011749983
08:43.1,H,7,0.022502899
08:43.1,H,7,0.028830051
08:43.2,H,7,0.04881525
08:43.2,H,7,0.014998198
08:43.2,H,7,0.014722109
08:43.3,H,7,0.010518074
08:43.3,H,7,0.010864973
08:43.3,H,7,0.013433933
08:43.4,H,7,0.054342985
08:43.4,H,7,0.02039814
08:43.5,H,7,0.01157093
08:43.5,H,7,0.010175943
08:43.5,H,7,0.010272026
08:43.6,H,7,0.036422729
08:43.6,H,8,0.039596081
08:43.7,H,8,0.020318031
08:43.7,H,8,0.012023926
08:43.7,H,8,0.011317015
08:43.8,H,8,0.019135952
08:43.8,H,8,0.016957045
08:43.9,H,8,0.036950827
08:43.9,H,8,0.033343792
08:43.9,H,8,0.013197184
08:44.0,H,8,0.011161089
08:44.0,H,8,0.010825157
08:44.0,H,8,0.038897038
08:44.1,H,8,0.031069279
08:44.1,H,8,0.01312995
08:44.2,H,8,0.011240959
08:44.2,H,8,0.011031866
08:44.2,H,8,0.010630131
08:44.3,H,8,0.030122995
08:44.3,H,8,0.032054901
08:44.3,H,8,0.017620087
08:44.4,H,8,0.012365103
08:44.4,H,8,0.011052847
08:44.4,H,8,0.021364927
08:44.5,H,8,0.033679008
08:44.6,H,8,0.054295063
08:44.6,H,8,0.013525009
08:44.6,H,8,0.0120821
08:44.7,H,8,0.063392162
08:44.8,H,8,0.027030945
08:44.8,H,8,0.01256609
08:44.8,H,8,0.011015177
08:44.8,H,8,0.010854721
08:44.9,H,8,0.011168003
08:44.9,H,8,0.010867119
08:44.9,H,8,0.010931969
08:45.0,H,8,0.058560848
08:45.0,H,8,0.037657022
08:45.1,H,8,0.04003787
08:45.1,H,8,0.01564002
08:45.2,H,8,0.011682034
08:45.2,H,8,0.023223162
08:45.3,H,8,0.034264088
08:45.3,H,8,0.015855074
08:45.3,H,8,0.0160501
08:45.4,H,8,0.011567116
08:45.4,H,8,0.011130095
08:45.4,H,8,0.010830164
08:45.4,H,8,0.030092955
08:45.5,H,8,0.051662683
08:45.6,H,8,0.045105934
16:49.8,H,1,0.001383066
16:49.8,H,1,0.00129509
16:49.8,H,1,0.00130105
16:49.8,H,1,0.001316786
16:49.9,H,1,0.001209259
16:49.9,H,1,0.001135826
16:49.9,H,1,0.001285076
16:49.9,H,1,0.001999855
16:49.9,H,1,0.001176834
16:49.9,H,1,0.001172781
16:49.9,H,1,0.001154184
16:50.0,H,1,0.011578083
