currenttime,option,lensplit,f,accuracy,timetaken
2017-07-03 11:48:50.931359,opt6,0,0.003,0.62236710130391171,0
2017-07-03 11:48:52.873528,opt1,len5,0.003,0.62948846539618852,0.04048013687133789
2017-07-03 11:48:54.863544,opt2,len5,0.003,0.58515546639919758,0.11316704750061035
2017-07-03 11:48:56.947032,opt3,len5,0.003,0.62517552657973918,0.0465700626373291
2017-07-03 11:48:59.170303,opt4,len5,0.003,0.62427281845536609,0.1191108226776123
2017-07-03 12:12:00.243073,opt5,split8,0.003,0.59077231695085253,709.8457140922546
2017-07-03 12:12:02.036859,opt5,split1,0.003,0.49037111334002004,84.64214587211609
2017-07-03 12:12:03.842346,opt5,split2,0.003,0.51253761283851551,184.16560983657837
2017-07-03 12:12:05.721133,opt5,split4,0.003,0.57171514543630897,400.66899704933167
2017-07-03 12:12:07.836250,opt6,0,0.003,0.62948846539618852,0
2017-07-03 12:12:09.706386,opt1,len5,0.003,0.53400200601805414,0.01753401756286621
2017-07-03 12:12:11.965743,opt2,len5,0.003,0.53500501504513542,0.13054704666137695
2017-07-03 12:12:13.819065,opt3,len5,0.003,0.61975927783350049,0.04449892044067383
2017-07-03 12:12:15.795118,opt4,len5,0.003,0.62046138415245733,0.17637419700622559
2017-07-03 12:34:35.010385,opt5,split8,0.003,0.55877632898696084,718.6446809768677
2017-07-03 12:34:37.201266,opt5,split1,0.003,0.59568706118355064,83.28041410446167
2017-07-03 12:34:39.391402,opt5,split2,0.003,0.59568706118355064,173.9308750629425
2017-07-03 12:34:41.277688,opt5,split4,0.003,0.47231695085255765,361.5626311302185
2017-07-03 12:34:43.742236,opt6,0,0.003,0.6210631895687061,0
2017-07-03 12:34:45.631284,opt1,len5,0.003,0.60912738214643936,0.018114805221557617
2017-07-03 12:34:47.610871,opt2,len5,0.003,0.62557673019057169,0.14834094047546387
2017-07-03 12:34:49.465926,opt3,len5,0.003,0.64172517552657971,0.024055957794189453
2017-07-03 12:34:51.419474,opt4,len5,0.003,0.64152457372116345,0.1862180233001709
2017-07-03 12:56:22.422074,opt5,split8,0.003,0.60411233701103306,667.9051430225372
2017-07-03 12:56:24.761660,opt5,split1,0.003,0.50591775325977939,86.31035614013672
2017-07-03 12:56:26.753810,opt5,split2,0.003,0.50591775325977939,168.00454092025757
2017-07-03 12:56:28.991516,opt5,split4,0.003,0.57101303911735202,366.96505188941956
2017-07-03 12:56:31.034385,opt6,0,0.003,0.64072216649949854,0
2017-07-03 12:56:33.158563,opt1,len5,0.003,0.52196589769307922,0.03620100021362305
2017-07-03 12:56:35.440002,opt2,len5,0.003,0.52186559679037114,0.1314709186553955
2017-07-03 12:56:37.411414,opt3,len5,0.003,0.62527582748244737,0.049835920333862305
2017-07-03 12:56:39.483404,opt4,len5,0.003,0.62447342026078234,0.13956284523010254
2017-07-03 13:20:24.549046,opt5,split8,0.003,0.58345035105315946,807.263965845108
2017-07-03 13:20:26.808343,opt5,split1,0.003,0.58856569709127382,90.56516194343567
2017-07-03 13:20:28.731369,opt5,split2,0.003,0.58856569709127382,177.0493941307068
2017-07-03 13:20:30.991394,opt5,split4,0.003,0.58856569709127382,348.37785601615906
2017-07-03 13:20:32.891945,opt6,0,0.003,0.627382146439318,0
2017-07-03 13:20:34.770904,opt1,len5,0.003,0.43771313941825474,0.01821303367614746
2017-07-03 13:20:36.831819,opt2,len5,0.003,0.4428284854563691,0.15634417533874512
2017-07-03 13:20:38.659378,opt3,len5,0.003,0.63550651955867599,0.026096105575561523
2017-07-03 13:20:41.045679,opt4,len5,0.003,0.63610832497492475,0.12206077575683594
2017-07-03 13:45:35.446907,opt5,split8,0.003,0.59899699097291881,784.3204491138458
2017-07-03 13:45:37.941980,opt5,split1,0.003,0.6165496489468405,91.61161088943481
2017-07-03 13:45:40.212698,opt5,split2,0.003,0.60962888665997994,191.97033405303955
2017-07-03 13:45:42.184310,opt5,split4,0.003,0.61023069207622871,424.7250249385834
2017-07-03 13:45:44.056154,opt6,0,0.003,0.63791374122367106,0
2017-07-03 13:45:46.058698,opt1,len5,0.003,0.46399197592778335,0.037596940994262695
2017-07-03 13:45:48.239409,opt2,len5,0.003,0.4140421263791374,0.15345287322998047
2017-07-03 13:45:50.339399,opt3,len5,0.003,0.6313941825476429,0.06470203399658203
2017-07-03 13:45:52.338613,opt4,len5,0.003,0.6313941825476429,0.14568805694580078
2017-07-03 14:12:19.870444,opt5,split8,0.003,0.47422266800401203,949.4535868167877
2017-07-03 14:12:21.821522,opt5,split1,0.003,0.62718154463390174,92.31081891059875
2017-07-03 14:12:23.665983,opt5,split2,0.003,0.49939819458375123,165.7847878932953
2017-07-03 14:12:25.515494,opt5,split4,0.003,0.46609829488465399,378.14458990097046
2017-07-03 14:12:27.429221,opt6,0,0.003,0.632296890672016,0
2017-07-03 14:12:29.302484,opt1,len5,0.003,0.47422266800401203,0.018338918685913086
2017-07-03 14:12:31.250481,opt2,len5,0.003,0.46980942828485456,0.08417105674743652
2017-07-03 14:12:33.445672,opt3,len5,0.003,0.60812437311935807,0.05523490905761719
2017-07-03 14:12:35.686841,opt4,len5,0.003,0.60882647943831492,0.1374378204345703
2017-07-03 14:38:33.410280,opt5,split8,0.003,0.46188565697091272,812.159393787384
