currenttime,k,restarts,accuracy
2018-06-01 15:02:21.730209,7,2,0.8219731093071826
2018-06-01 15:02:22.124344,7,99,0.821863134601365
2018-06-01 15:02:28.254024,8,10,0.7916515561506775
2018-06-01 15:02:28.624851,8,5,0.7915417143229094
2018-06-01 15:02:28.989097,8,4,0.7915417143229094
2018-06-01 15:02:29.349585,8,3,0.7915417143229094
2018-06-01 15:02:29.717526,8,2,0.7915417143229094
2018-06-01 15:02:30.073572,8,99,0.7917613979784455
2018-06-01 15:02:33.041694,3,5,0.9494512244023715
2018-06-01 15:02:33.408344,3,4,0.9494512244023715
2018-06-01 15:02:33.750866,3,3,0.9494512244023715
2018-06-01 15:02:34.082591,3,2,0.9494512244023715
2018-06-01 15:02:34.427237,3,99,0.9494512244023715
2018-06-01 15:02:37.243980,4,10,0.9017582417582417
2018-06-01 15:02:37.609163,4,5,0.9017582417582417
2018-06-01 15:02:37.955382,4,4,0.9017582417582417
2018-06-01 15:02:38.371613,4,3,0.9017582417582417
2018-06-01 15:02:38.742046,4,2,0.9017582417582417
2018-06-01 15:02:39.110865,4,99,0.9017582417582417
2018-06-01 15:02:42.039138,5,10,0.8775824175824176
2018-06-01 15:02:42.423092,5,5,0.8775824175824176
2018-06-01 15:02:42.795907,5,4,0.8775824175824176
2018-06-01 15:02:43.168778,5,3,0.8775824175824176
2018-06-01 15:02:43.529107,5,2,0.8775824175824176
2018-06-01 15:02:43.901709,5,99,0.8774725274725274
2018-06-01 15:02:46.960908,6,10,0.8524180669351479
2018-06-01 15:02:47.321341,6,5,0.8524180669351479
2018-06-01 15:02:47.678267,6,4,0.8524180669351479
2018-06-01 15:02:48.033192,6,3,0.8524180669351479
2018-06-01 15:02:48.404587,6,2,0.8524180669351479
2018-06-01 15:02:48.770430,6,99,0.8524180669351479
2018-06-01 15:02:53.106444,7,10,0.8249402338789393
2018-06-01 15:02:53.504125,7,5,0.8249402338789393
2018-06-01 15:02:53.877285,7,4,0.8249402338789393
2018-06-01 15:02:54.255559,7,3,0.8249402338789393
2018-06-01 15:02:54.642642,7,2,0.8249402338789393
2018-06-01 15:02:55.027344,7,99,0.8251601832905747
2018-06-01 15:03:01.510790,8,10,0.7904339972661589
2018-06-01 15:03:01.882655,8,5,0.7903245428875189
2018-06-01 15:03:02.255876,8,4,0.7903245428875189
2018-06-01 15:03:02.619267,8,3,0.7903245428875189
2018-06-01 15:03:02.994051,8,2,0.7903245428875189
2018-06-01 15:03:03.361512,8,99,0.7905442265430549
2018-06-01 15:03:06.385509,3,5,0.9507693261764333
2018-06-01 15:03:06.736455,3,4,0.9507693261764333
2018-06-01 15:03:07.080331,3,3,0.9507693261764333
2018-06-01 15:03:07.432021,3,2,0.9507693261764333
2018-06-01 15:03:07.780863,3,99,0.9507693261764333
2018-06-01 15:03:10.555421,4,10,0.9112087912087912
2018-06-01 15:03:10.903502,4,5,0.9112087912087912
2018-06-01 15:03:11.283267,4,4,0.9112087912087912
2018-06-01 15:03:11.628637,4,3,0.9112087912087912
2018-06-01 15:03:11.977612,4,2,0.9112087912087912
2018-06-01 15:03:12.319945,4,99,0.9112087912087912
2018-06-01 15:03:15.021886,5,10,0.8797802197802198
2018-06-01 15:03:15.414196,5,5,0.8797802197802198
2018-06-01 15:03:15.775357,5,4,0.8797802197802198
2018-06-01 15:03:16.130614,5,3,0.8797802197802198
2018-06-01 15:03:16.491501,5,2,0.8797802197802198
2018-06-01 15:03:16.845317,5,99,0.8797802197802198
2018-06-01 15:03:19.982272,6,10,0.8517549645882516
2018-06-01 15:03:20.354405,6,5,0.8517549645882516
2018-06-01 15:03:20.733024,6,4,0.8517549645882516
2018-06-01 15:03:21.091563,6,3,0.8517549645882516
2018-06-01 15:03:21.466658,6,2,0.8517549645882516
2018-06-01 15:03:21.832495,6,99,0.8517549645882516
2018-06-01 15:03:27.017792,7,10,0.8241761447715644
2018-06-01 15:03:27.421013,7,5,0.8241761447715644
2018-06-01 15:03:27.798635,7,4,0.8241761447715644
2018-06-01 15:03:28.179318,7,3,0.8241761447715644
2018-06-01 15:03:28.561445,7,2,0.8241761447715644
2018-06-01 15:03:28.926529,7,99,0.8241761447715644
2018-06-01 15:03:35.578691,8,10,0.8013160871977509
2018-06-01 15:03:35.960348,8,5,0.8013160871977509
2018-06-01 15:03:36.337329,8,4,0.8013160871977509
2018-06-01 15:03:36.724141,8,3,0.8013160871977509
2018-06-01 15:03:37.112430,8,2,0.8013160871977509
2018-06-01 15:03:37.506746,8,99,0.8013160871977509
2018-06-01 15:03:40.468894,3,5,0.9492309853459163
2018-06-01 15:03:40.810816,3,4,0.9492309853459163
2018-06-01 15:03:41.151631,3,3,0.9492309853459163
2018-06-01 15:03:41.485849,3,2,0.9492309853459163
2018-06-01 15:03:41.848449,3,99,0.9492309853459163
2018-06-01 15:03:44.620070,4,10,0.9105494505494506
2018-06-01 15:03:44.976395,4,5,0.9114285714285715
2018-06-01 15:03:45.348085,4,4,0.9114285714285715
2018-06-01 15:03:45.699456,4,3,0.9114285714285715
2018-06-01 15:03:46.054309,4,2,0.9114285714285715
2018-06-01 15:03:46.403665,4,99,0.9105494505494506
2018-06-01 15:03:49.199605,5,10,0.878901098901099
2018-06-01 15:03:49.556502,5,5,0.878901098901099
2018-06-01 15:03:49.915595,5,4,0.44219780219780214
2018-06-01 15:03:50.277604,5,3,0.44219780219780214
2018-06-01 15:03:50.667074,5,2,0.44219780219780214
2018-06-01 15:03:51.038186,5,99,0.878901098901099
2018-06-01 15:03:54.581513,6,10,0.8488988797852149
2018-06-01 15:03:54.939626,6,5,0.8488988797852149
2018-06-01 15:03:55.308231,6,4,0.8488988797852149
2018-06-01 15:03:55.699645,6,3,0.6206666898116002
2018-06-01 15:03:56.058443,6,2,0.6206666898116002
2018-06-01 15:03:56.453024,6,99,0.8488988797852149
2018-06-01 15:04:00.591849,7,10,0.823074545166363
2018-06-01 15:04:00.995437,7,5,0.823074545166363
2018-06-01 15:04:01.373660,7,4,0.823074545166363
2018-06-01 15:04:01.748208,7,3,0.823074545166363
2018-06-01 15:04:02.136409,7,2,0.823074545166363
2018-06-01 15:04:02.509088,7,99,0.823074545166363
2018-06-01 15:04:08.473256,8,10,0.7902224500423094
2018-06-01 15:04:08.841053,8,5,0.7902224500423094
2018-06-01 15:04:09.215743,8,4,0.7902224500423094
2018-06-01 15:04:09.592425,8,3,0.7902224500423094
2018-06-01 15:04:09.965893,8,2,0.7902224500423094
2018-06-01 15:04:10.333142,8,99,0.7901126082145414
2018-06-01 15:04:13.302144,3,5,0.9496697971764919
2018-06-01 15:04:13.658660,3,4,0.9496697971764919
2018-06-01 15:04:14.014497,3,3,0.9496697971764919
2018-06-01 15:04:14.357136,3,2,0.9496697971764919
2018-06-01 15:04:14.727563,3,99,0.9496697971764919
2018-06-01 15:04:17.549567,4,10,0.9095604395604395
2018-06-01 15:04:17.909798,4,5,0.9095604395604395
2018-06-01 15:04:18.277422,4,4,0.9095604395604395
2018-06-01 15:04:18.614536,4,3,0.5341758241758241
2018-06-01 15:04:18.971954,4,2,0.5341758241758241
2018-06-01 15:04:19.319475,4,99,0.9095604395604395
2018-06-01 15:04:22.194137,5,10,0.8798901098901097
2018-06-01 15:04:22.595991,5,5,0.8798901098901097
2018-06-01 15:04:22.965024,5,4,0.8798901098901097
2018-06-01 15:04:23.341028,5,3,0.8798901098901097
2018-06-01 15:04:23.701634,5,2,0.8798901098901097
2018-06-01 15:04:24.083747,5,99,0.8798901098901097
2018-06-01 15:04:27.385873,6,10,0.8462641184094801
2018-06-01 15:04:27.758480,6,5,0.8462641184094801
2018-06-01 15:04:28.119914,6,4,0.8462641184094801
2018-06-01 15:04:28.482549,6,3,0.8462641184094801
2018-06-01 15:04:28.849488,6,2,0.8462641184094801
2018-06-01 15:04:29.213403,6,99,0.8462641184094801
2018-06-01 15:04:33.073641,7,10,0.8213183251416158
2018-06-01 15:04:33.454034,7,5,0.8213183251416158
2018-06-01 15:04:33.831503,7,4,0.8213183251416158
2018-06-01 15:04:34.208045,7,3,0.8213183251416158
2018-06-01 15:04:34.585114,7,2,0.8213183251416158
2018-06-01 15:04:34.955462,7,99,0.8215379369486285
2018-06-01 15:04:40.669344,8,10,0.7950562653623579
2018-06-01 15:04:41.036191,8,5,0.7950562653623579
2018-06-01 15:04:41.399796,8,4,0.7950562653623579
2018-06-01 15:04:41.767860,8,3,0.7950562653623579
2018-06-01 15:04:42.141818,8,2,0.7951661071901259
2018-06-01 15:04:42.501229,8,99,0.795056265362358
2018-06-01 15:04:45.459528,3,5,0.9486814381871196
2018-06-01 15:04:45.812685,3,4,0.9486814381871196
2018-06-01 15:04:46.152445,3,3,0.9486814381871196
2018-06-01 15:04:46.490417,3,2,0.9486814381871196
2018-06-01 15:04:46.839493,3,99,0.9486814381871196
2018-06-01 15:04:49.541179,4,10,0.9081318681318682
