currenttime,method,f,accuracy,precision,recall
2018-04-27 13:34:35.435144,Holdout,0.0001426403873215002,0.36189100046397282,0.41643525241382817,0.47312391976503004
2018-04-27 13:35:13.418256,Holdout,9e-05,0.3605487580047706,0.36672567324066141,0.37583429097280746
2018-04-27 13:35:24.800463,Holdout,0.014264038732150021,0.5429494399085143,0.54301806445272816,0.54311698908632122
2018-04-27 13:36:14.487228,Holdout,0.014264038732150021,0.54217806342525676,0.54225946278774872,0.54237116223962012
2018-04-27 13:37:06.795598,Holdout,0.022606977883586222,0.66397153829077693,0.6640020962450629,0.6640632121536344
2018-04-27 13:38:38.999770,Holdout,0.0567861610032174,0.51167762199935274,0.51170804642590273,0.51176222006806582
2018-04-27 13:40:11.464381,Holdout,0.035829645349814754,0.68019677108001586,0.68022774834962207,0.68028970288883439
2018-04-27 13:40:47.558684,Holdout,0.035829645349814754,0.65661160792817219,0.65663484088037682,0.65668130678478598
2018-04-27 13:44:10.402026,Holdout,0.0567861610032174,0.67024009798747886,0.67027176360829654,0.67033509484993192
2018-04-27 13:51:21.903289,Holdout,0.09000000000000001,0.65950770256704805,0.65954052388951101,0.6596061665344366
2018-04-27 13:53:49.900433,Holdout,0.09000000000000001,0.67358589812090175,0.67361051411274886,0.67365974609644308
2018-04-27 14:11:46.112292,Holdout,0.14264038732150022,0.65779832078379685,0.65782444851450028,0.65787670397590714
2018-04-27 14:15:28.934726,Holdout,0.14264038732150022,0.65293213444694465,0.65296697142121585,0.65303664536975836
2018-04-27 14:45:48.178508,GS,0.9,0.66666666666666663,0.66666666666666663,0.66666666666666663
2018-04-27 14:45:48.358779,GS,0.0001426403873215002,0.66549951013066133,0.66730926063184492,0.66960733437121611
2018-04-27 14:45:48.450834,GS,0.014264038732150021,0.66656581614977273,0.66659611623915194,0.66665671641791047
2018-04-27 14:45:48.451991,GS,0.09000000000000001,0.6665928186911253,0.66661743468297241,0.66666666666666663
2018-04-27 14:45:48.542672,GS,0.567861610032174,0.66661482923683113,0.66663210838010956,0.66666666666666663
2018-04-27 14:45:48.624365,GS,0.00035829645349814754,0.66627749775363787,0.6664480385318764,0.6666568549534434
2018-04-27 14:45:48.762766,GS,0.9,0.66666666666666663,0.66666666666666663,0.66666666666666663
2018-04-27 14:45:48.782107,GS,0.35829645349814754,0.66659685114750411,0.66662012298722495,0.66666666666666663
2018-04-27 14:45:48.844300,GS,0.009000000000000001,0.66656916255539045,0.666591766561484,0.66663697457367099
2018-04-27 14:45:48.847895,GS,0.2260697788358622,0.66660877909077254,0.6666280749494039,0.66666666666666663
2018-04-27 14:45:48.873395,GS,0.0567861610032174,0.66657166980421367,0.66660333542503125,0.66666666666666663
2018-04-27 14:45:48.964359,GS,0.0567861610032174,0.66659541901982688,0.66661916823544021,0.66666666666666663
2018-04-27 14:45:49.041357,GS,0.2260697788358622,0.66660877909077254,0.6666280749494039,0.66666666666666663
2018-04-27 14:45:49.057093,GS,9e-05,0.66490903779239774,0.66868020791839766,0.67322093433191588
2018-04-27 14:45:49.303082,GS,0.035829645349814754,0.6665737348578481,0.66660471212745431,0.66666666666666663
2018-04-27 14:45:49.335526,GS,0.002260697788358622,0.66646181245348746,0.6665043688249338,0.66657686056395171
2018-04-27 14:45:49.391826,GS,0.14264038732150022,0.66658828347455634,0.66661441120525977,0.66666666666666663
2018-04-27 14:45:49.613880,GS,0.14264038732150022,0.66658828347455634,0.66661441120525977,0.66666666666666663
2018-04-27 14:45:49.622863,GS,0.0014264038732150022,0.6665222488199829,0.66656056598082902,0.66663720030252138
2018-04-27 14:45:49.625476,GS,0.022606977883586222,0.66659791126952361,0.66662082973523795,0.66666666666666663
2018-04-27 14:45:49.646896,GS,0.0035829645349814755,0.66654721056270871,0.66657718567860058,0.66663713591038398
2018-04-27 14:45:49.737368,GS,0.035829645349814754,0.66659696781005284,0.66662020076225736,0.66666666666666663
2018-04-27 14:45:49.805414,GS,0.0005678616100321739,0.66651680169945049,0.66708059632028294,0.66768267499419487
2018-04-27 14:45:49.912854,GS,0.00567861610032174,0.66656668869163027,0.66659672659408331,0.66665680239898994
