currenttime,option,k,f,accuracy
2018-02-26 10:44:46.609027,opt4,3,0.01,0.70454545454545459
2018-02-26 10:44:47.715080,opt5,3,0.01,0.70434343434343438
2018-02-26 10:45:23.018486,opt6,3,0.01,0.69636363636363641
2018-02-26 10:45:23.447641,opt1,3,0.01,0.73242424242424242
2018-02-26 10:45:23.979101,opt2,3,0.01,0.71898989898989896
2018-02-26 10:45:24.497006,opt3,3,0.01,0.71898989898989896
2018-02-26 10:45:24.894850,opt4,3,0.01,0.68464646464646461
2018-02-26 10:45:25.706169,opt5,3,0.01,0.72828282828282831
2018-02-26 10:45:46.232141,opt6,3,0.01,0.71878787878787875
2018-02-26 10:45:51.623907,opt1,4,0.01,0.60444444444444445
2018-02-26 10:45:52.222199,opt2,4,0.01,0.53636363636363638
2018-02-26 10:45:52.610048,opt3,4,0.01,0.54545454545454541
2018-02-26 10:45:53.090171,opt4,4,0.01,0.59050505050505053
2018-02-26 10:45:54.291763,opt5,4,0.01,0.59262626262626261
2018-02-26 10:46:42.576629,opt6,4,0.01,0.43363636363636365
2018-02-26 10:46:43.047970,opt1,4,0.01,0.56828282828282828
2018-02-26 10:46:43.742583,opt2,4,0.01,0.53909090909090907
2018-02-26 10:46:44.189930,opt3,4,0.01,0.54414141414141415
2018-02-26 10:46:44.632062,opt4,4,0.01,0.56131313131313132
2018-02-26 10:46:45.690695,opt5,4,0.01,0.5634343434343434
2018-02-26 10:47:26.032687,opt6,4,0.01,0.45666666666666667
2018-02-26 10:47:26.687824,opt1,4,0.01,0.60555555555555551
2018-02-26 10:47:27.793699,opt2,4,0.01,0.5225252525252525
2018-02-26 10:47:28.311150,opt3,4,0.01,0.52434343434343433
2018-02-26 10:47:28.879832,opt4,4,0.01,0.48272727272727273
2018-02-26 10:47:30.196756,opt5,4,0.01,0.59949494949494953
2018-02-26 10:48:12.889152,opt6,4,0.01,0.48838383838383836
2018-02-26 10:48:13.197774,opt1,4,0.01,0.5955555555555555
2018-02-26 10:48:13.721158,opt2,4,0.01,0.5377777777777778
2018-02-26 10:48:14.105047,opt3,4,0.01,0.55191919191919192
2018-02-26 10:48:14.573045,opt4,4,0.01,0.58474747474747479
2018-02-26 10:48:15.650261,opt5,4,0.01,0.58484848484848484
2018-02-26 10:49:01.988792,opt6,4,0.01,0.32565656565656564
2018-02-26 10:49:02.438425,opt1,4,0.01,0.59939393939393937
2018-02-26 10:49:03.069725,opt2,4,0.01,0.37696969696969695
2018-02-26 10:49:03.439894,opt3,4,0.01,0.37232323232323233
2018-02-26 10:49:03.984945,opt4,4,0.01,0.39434343434343433
2018-02-26 10:49:05.212192,opt5,4,0.01,0.59383838383838383
2018-02-26 10:50:01.440370,opt6,4,0.01,0.37888888888888889
2018-02-26 10:50:01.823727,opt1,4,0.01,0.58949494949494952
2018-02-26 10:50:02.401015,opt2,4,0.01,0.55242424242424237
2018-02-26 10:50:02.811985,opt3,4,0.01,0.52787878787878784
2018-02-26 10:50:03.328753,opt4,4,0.01,0.58101010101010098
2018-02-26 10:50:04.449363,opt5,4,0.01,0.58414141414141418
2018-02-26 10:50:58.140560,opt6,4,0.01,0.3705050505050505
2018-02-26 10:50:58.500021,opt1,4,0.01,0.59979797979797977
2018-02-26 10:50:59.136124,opt2,4,0.01,0.57757575757575763
2018-02-26 10:50:59.471786,opt3,4,0.01,0.57767676767676768
2018-02-26 10:50:59.876836,opt4,4,0.01,0.58696969696969692
2018-02-26 10:51:00.831885,opt5,4,0.01,0.58707070707070708
2018-02-26 10:51:39.192525,opt6,4,0.01,0.43595959595959594
2018-02-26 10:51:39.553536,opt1,4,0.01,0.59242424242424241
2018-02-26 10:51:40.200755,opt2,4,0.01,0.50686868686868691
2018-02-26 10:51:40.540661,opt3,4,0.01,0.51646464646464652
2018-02-26 10:51:40.941902,opt4,4,0.01,0.58404040404040403
2018-02-26 10:51:42.107880,opt5,4,0.01,0.58292929292929296
2018-02-26 10:52:22.368139,opt6,4,0.01,0.34292929292929292
2018-02-26 10:52:22.726347,opt1,4,0.01,0.58606060606060606
2018-02-26 10:52:23.497230,opt2,4,0.01,0.45393939393939392
2018-02-26 10:52:23.887233,opt3,4,0.01,0.4623232323232323
2018-02-26 10:52:24.378274,opt4,4,0.01,0.57454545454545458
2018-02-26 10:52:25.553417,opt5,4,0.01,0.57484848484848483
2018-02-26 10:53:07.020385,opt6,4,0.01,0.3101010101010101
2018-02-26 10:53:07.415958,opt1,4,0.01,0.57646464646464646
2018-02-26 10:53:08.105218,opt2,4,0.01,0.48505050505050507
2018-02-26 10:53:08.480618,opt3,4,0.01,0.51121212121212123
2018-02-26 10:53:08.919035,opt4,4,0.01,0.57353535353535356
2018-02-26 10:53:10.121319,opt5,4,0.01,0.5755555555555556
2018-02-26 10:53:48.093821,opt6,4,0.01,0.46666666666666667
2018-02-26 10:53:48.555836,opt1,4,0.01,0.59656565656565652
2018-02-26 10:53:49.359536,opt2,4,0.01,0.57666666666666666
2018-02-26 10:53:49.754603,opt3,4,0.01,0.5790909090909091
2018-02-26 10:53:50.348828,opt4,4,0.01,0.59252525252525257
2018-02-26 10:53:51.812964,opt5,4,0.01,0.5916161616161616
2018-02-26 10:54:41.066614,opt6,4,0.01,0.44292929292929295
2018-02-26 10:54:41.676666,opt1,4,0.01,0.59606060606060607
2018-02-26 10:54:42.782796,opt2,4,0.01,0.56727272727272726
2018-02-26 10:54:43.266007,opt3,4,0.01,0.54909090909090907
2018-02-26 10:54:43.763512,opt4,4,0.01,0.59080808080808078
2018-02-26 10:54:45.789578,opt5,4,0.01,0.59313131313131318
2018-02-26 10:55:41.695265,opt6,4,0.01,0.3574747474747475
2018-02-26 10:55:42.422742,opt1,4,0.01,0.60040404040404038
2018-02-26 10:55:43.308740,opt2,4,0.01,0.54545454545454541
2018-02-26 10:55:44.059978,opt3,4,0.01,0.54858585858585862
2018-02-26 10:55:44.752321,opt4,4,0.01,0.58949494949494952
2018-02-26 10:55:46.172371,opt5,4,0.01,0.58999999999999997
2018-02-26 10:56:30.648845,opt6,4,0.01,0.33666666666666667
2018-02-26 10:56:31.264501,opt1,4,0.01,0.58030303030303032
2018-02-26 10:56:32.199129,opt2,4,0.01,0.51020202020202021
2018-02-26 10:56:32.764392,opt3,4,0.01,0.53787878787878785
2018-02-26 10:56:33.725533,opt4,4,0.01,0.56888888888888889
2018-02-26 10:56:35.686694,opt5,4,0.01,0.56868686868686869
2018-02-26 10:57:26.836120,opt6,4,0.01,0.31868686868686869
2018-02-26 10:57:27.406277,opt1,4,0.01,0.60010101010101013
2018-02-26 10:57:28.336952,opt2,4,0.01,0.58141414141414138
2018-02-26 10:57:29.080571,opt3,4,0.01,0.57747474747474747
2018-02-26 10:57:29.609903,opt4,4,0.01,0.59252525252525257
2018-02-26 10:57:30.616785,opt5,4,0.01,0.59151515151515155
2018-02-26 10:58:29.809655,opt6,4,0.01,0.45515151515151514
2018-02-26 10:58:30.538148,opt1,4,0.01,0.58020202020202016
2018-02-26 10:58:31.889836,opt2,4,0.01,0.44898989898989899
2018-02-26 10:58:32.712201,opt3,4,0.01,0.47929292929292927
2018-02-26 10:58:33.432356,opt4,4,0.01,0.51939393939393941
2018-02-26 10:58:35.270502,opt5,4,0.01,0.56696969696969701
2018-02-26 10:59:34.056672,opt6,4,0.01,0.34484848484848485
2018-02-26 10:59:34.751171,opt1,4,0.01,0.58353535353535357
2018-02-26 10:59:35.490565,opt2,4,0.01,0.56191919191919193
2018-02-26 10:59:36.230609,opt3,4,0.01,0.56626262626262625
2018-02-26 10:59:36.691018,opt4,4,0.01,0.48585858585858588
2018-02-26 10:59:38.198981,opt5,4,0.01,0.57393939393939397
2018-02-26 11:00:32.116661,opt6,4,0.01,0.38555555555555554
2018-02-26 11:00:32.622687,opt1,4,0.01,0.60909090909090913
2018-02-26 11:00:33.449764,opt2,4,0.01,0.50121212121212122
2018-02-26 11:00:33.965074,opt3,4,0.01,0.51828282828282823
2018-02-26 11:00:34.467823,opt4,4,0.01,0.55686868686868685
2018-02-26 11:00:35.662706,opt5,4,0.01,0.59626262626262627
