currenttime,choice,l,valueH,valueM
2020-03-03 23:07:07.370313,HrowEC,5,0.34690244075443954,28969044.444444444
2020-03-03 23:07:07.370524,HrowEC,6,0.33381147775532194,550402801.7777778
2020-03-03 23:07:07.370702,HrowEC,7,0.3411186261746415,10457746220.444445
2020-03-03 23:07:07.370888,HrowEC,8,0.33149180493652103,198697536935.1111
2020-03-03 23:07:08.522344,Hrow,1,0.5922190201729106,219.33333333333334
2020-03-03 23:07:08.522715,Hrow,2,0.6382767520349414,6470.111111111111
2020-03-03 23:07:08.524590,Hrow,3,0.38834314226762257,88604.0
2020-03-03 23:07:08.525043,Hrow,4,0.40357825062957037,1857139.7777777778
2020-03-03 23:07:08.525523,Hrow,5,0.3390163069012187,35533087.11111111
2020-03-03 23:07:08.525717,Hrow,6,0.35728672262582484,714879667.2222222
2020-03-03 23:07:08.525944,Hrow,7,0.3270026681489964,14219493661.555555
2020-03-03 23:07:08.526140,Hrow,8,0.3484863120831501,284620780658.8889
2020-03-03 23:07:08.526322,HrowEC,1,0.5922190201729106,219.33333333333334
2020-03-03 23:07:08.526484,HrowEC,2,0.4490474750529181,4248.0
2020-03-03 23:07:08.526699,HrowEC,3,0.36615561533234425,80050.44444444444
2020-03-03 23:07:08.526889,HrowEC,4,0.3623563462725167,1524105.5555555555
2020-03-03 23:07:08.527072,HrowEC,5,0.32958332647131283,28956626.444444444
2020-03-03 23:07:08.527337,HrowEC,6,0.34868155863813494,550178247.1111112
2020-03-03 23:07:08.527495,HrowEC,7,0.3240601144868944,10453580058.0
2020-03-03 23:07:08.527671,HrowEC,8,0.34646072035862807,198618037105.1111
2020-03-03 23:07:09.648445,Hrow,1,0.5844748858447488,219.55555555555554
2020-03-03 23:07:09.648817,Hrow,2,0.6240171168761701,6427.111111111111
2020-03-03 23:07:09.650669,Hrow,3,0.3931274493952063,89045.11111111111
2020-03-03 23:07:09.651085,Hrow,4,0.3819084473619717,1855709.6666666667
2020-03-03 23:07:09.651543,Hrow,5,0.34575916029746806,35572082.44444445
2020-03-03 23:07:09.651734,Hrow,6,0.3352678333378939,714930387.4444444
2020-03-03 23:07:09.651950,Hrow,7,0.3339970639968503,14223998049.555555
2020-03-03 23:07:09.652134,Hrow,8,0.32653445627773653,284664587084.1111
2020-03-03 23:07:09.652316,HrowEC,1,0.5844748858447488,219.55555555555554
2020-03-03 23:07:09.652471,HrowEC,2,0.4244657332350774,4204.888888888889
2020-03-03 23:07:09.652734,HrowEC,3,0.3721794395397409,80481.55555555556
2020-03-03 23:07:09.652971,HrowEC,4,0.33992248830029076,1525152.888888889
2020-03-03 23:07:09.653153,HrowEC,5,0.3366245519729169,28961635.555555556
2020-03-03 23:07:09.653367,HrowEC,6,0.326695836604112,550265356.6666666
2020-03-03 23:07:09.653604,HrowEC,7,0.3310959592238986,10455121163.11111
2020-03-03 23:07:09.653813,HrowEC,8,0.3245356296606795,198648350843.1111
2020-03-03 23:07:10.785867,Hrow,1,0.6239737274220033,221.55555555555554
2020-03-03 23:07:10.787451,Hrow,2,0.621968461120174,6424.111111111111
2020-03-03 23:07:10.787813,Hrow,3,0.39551666679704917,88882.66666666667
2020-03-03 23:07:10.788032,Hrow,4,0.3789791324605608,1853646.6666666667
2020-03-03 23:07:10.788227,Hrow,5,0.34779908107484464,35550561.11111111
2020-03-03 23:07:10.788404,Hrow,6,0.33219365484725405,714660089.2222222
2020-03-03 23:07:10.788651,Hrow,7,0.3361227455901754,14220410159.333334
2020-03-03 23:07:10.788831,Hrow,8,0.3234299237036115,284605786257.3333
2020-03-03 23:07:10.789038,HrowEC,1,0.6239737274220033,221.55555555555554
2020-03-03 23:07:10.789231,HrowEC,2,0.41921470342522976,4202.0
2020-03-03 23:07:10.789417,HrowEC,3,0.37210605975671285,80242.22222222222
2020-03-03 23:07:10.789579,HrowEC,4,0.3373349113522234,1523280.4444444445
2020-03-03 23:07:10.789859,HrowEC,5,0.3388096462700997,28955121.777777776
2020-03-03 23:07:10.790061,HrowEC,6,0.3235561661133006,550191023.5555556
2020-03-03 23:07:10.790273,HrowEC,7,0.33323600676703363,10453436264.444445
2020-03-03 23:07:10.790569,HrowEC,8,0.3214317983554211,198616199855.33334
2020-03-03 23:07:12.310064,Hrow,1,0.624420401854714,219.11111111111111
2020-03-03 23:07:12.310414,Hrow,2,0.6352263805286574,6469.666666666667
