currenttime,option,k,f,time
2018-02-28 14:38:33.637674,opt3,4,0.01,0.054470062255859375
2018-02-28 14:38:33.745899,opt4,4,0.01,0.10703206062316895
2018-02-28 14:38:34.558209,opt5,4,0.01,0.8110260963439941
2018-02-28 14:39:13.427749,opt6,4,0.01,38.86832308769226
2018-02-28 14:39:13.743157,opt2,4,0.01,0.31119799613952637
2018-02-28 14:39:13.784320,opt3,4,0.01,0.04003286361694336
2018-02-28 14:39:13.893680,opt4,4,0.01,0.10829496383666992
2018-02-28 14:39:14.687743,opt5,4,0.01,0.7930130958557129
2018-02-28 14:39:49.155029,opt6,4,0.01,34.46615695953369
2018-02-28 14:39:49.444852,opt2,4,0.01,0.2860908508300781
2018-02-28 14:39:49.495063,opt3,4,0.01,0.04900383949279785
2018-02-28 14:39:49.603098,opt4,4,0.01,0.10692095756530762
2018-02-28 14:39:50.436449,opt5,4,0.01,0.8322160243988037
2018-02-28 14:40:22.560113,opt6,4,0.01,32.12257409095764
2018-02-28 14:40:22.827929,opt2,4,0.01,0.2638862133026123
2018-02-28 14:40:22.873040,opt3,4,0.01,0.04409909248352051
2018-02-28 14:40:22.968662,opt4,4,0.01,0.09460711479187012
2018-02-28 14:40:23.766118,opt5,4,0.01,0.7965459823608398
2018-02-28 14:40:59.513904,opt6,4,0.01,35.74661207199097
2018-02-28 14:40:59.797138,opt2,4,0.01,0.2796809673309326
2018-02-28 14:40:59.839353,opt3,4,0.01,0.04123091697692871
2018-02-28 14:40:59.957049,opt4,4,0.01,0.11678695678710938
2018-02-28 14:41:00.760959,opt5,4,0.01,0.8028099536895752
2018-02-28 14:41:48.742321,opt6,4,0.01,47.98022198677063
2018-02-28 14:41:48.980344,opt2,4,0.01,0.23375487327575684
2018-02-28 14:41:49.031286,opt3,4,0.01,0.049929141998291016
2018-02-28 14:41:49.139538,opt4,4,0.01,0.10724782943725586
2018-02-28 14:41:50.091905,opt5,4,0.01,0.9511070251464844
2018-02-28 14:42:24.642580,opt6,4,0.01,34.54949688911438
2018-02-28 14:42:29.018229,opt2,5,0.01,0.3311779499053955
2018-02-28 14:42:29.068880,opt3,5,0.01,0.04952597618103027
2018-02-28 14:42:29.232758,opt4,5,0.01,0.1625990867614746
2018-02-28 14:42:30.034403,opt5,5,0.01,0.8004529476165771
2018-02-28 14:43:18.577182,opt6,5,0.01,48.541635036468506
2018-02-28 14:43:18.895577,opt2,5,0.01,0.31418395042419434
2018-02-28 14:43:18.951433,opt3,5,0.01,0.05484414100646973
2018-02-28 14:43:19.080222,opt4,5,0.01,0.12775707244873047
2018-02-28 14:43:19.852466,opt5,5,0.01,0.771183967590332
2018-02-28 14:44:11.046620,opt6,5,0.01,51.19306802749634
2018-02-28 14:44:11.364870,opt2,5,0.01,0.3142549991607666
2018-02-28 14:44:11.416791,opt3,5,0.01,0.05078697204589844
2018-02-28 14:44:11.526858,opt4,5,0.01,0.10904383659362793
2018-02-28 14:44:12.352009,opt5,5,0.01,0.8241269588470459
2018-02-28 14:45:15.245460,opt6,5,0.01,62.892247915267944
